PENINSULA U18 C1,https://page.spordle.com/peninsula/teams/112775
PENINSULA U18 C2,https://page.spordle.com/peninsula/teams/112773
PENINSULA U18 C3,https://page.spordle.com/peninsula/teams/140439
JUAN_DE_FUCA U18 C1,https://page.spordle.com/juan-de-fuca-minor-hockey-association/teams/112401
JUAN_DE_FUCA U18 C2,https://page.spordle.com/juan-de-fuca-minor-hockey-association/teams/112404
JUAN_DE_FUCA U18 C3,https://page.spordle.com/juan-de-fuca-minor-hockey-association/teams/112405
JUAN_DE_FUCA U18 C4,https://page.spordle.com/juan-de-fuca-minor-hockey-association/teams/112405
KERRY_PARK U18 C1,https://page.spordle.com/kerry-park-mha/teams/112765
SOOKE U18 C1,https://page.spordle.com/sooke-district-minor-hockey-assoc/teams/136731
VICTORIA U18 C1,https://page.spordle.com/victoria-minor-hockey-association/teams/112762
VICTORIA U18 C2,https://page.spordle.com/victoria-minor-hockey-association/teams/112771
VICTORIA U18 C3,https://page.spordle.com/victoria-minor-hockey-association/teams/112761
VICTORIA U18 C4,https://page.spordle.com/victoria-minor-hockey-association/teams/112770
VICTORIA U18 C5,https://page.spordle.com/victoria-minor-hockey-association/teams/112764
VICTORIA U18 C6,https://page.spordle.com/victoria-minor-hockey-association/teams/112763
VICTORIA U18 C7,https://page.spordle.com/victoria-minor-hockey-association/teams/112774


PENINSULA U15 C1,https://page.spordle.com/peninsula/teams/112720
PENINSULA U15 C2,https://page.spordle.com/peninsula/teams/112722
JUAN_DE_FUCA U15 C1,https://page.spordle.com/juan-de-fuca-minor-hockey-association/teams/112730
JUAN_DE_FUCA U15 C2,https://page.spordle.com/juan-de-fuca-minor-hockey-association/teams/112731
JUAN_DE_FUCA U15 C3,https://page.spordle.com/juan-de-fuca-minor-hockey-association/teams/112735
KERRY_PARK U15 C1,https://page.spordle.com/kerry-park-mha/teams/112716
SOOKE U15 C1,https://page.spordle.com/sooke-district-minor-hockey-assoc/teams/112702
VICTORIA U15 C1,https://page.spordle.com/victoria-minor-hockey-association/teams/112717
VICTORIA U15 C2,https://page.spordle.com/victoria-minor-hockey-association/teams/112713
VICTORIA U15 C3,https://page.spordle.com/victoria-minor-hockey-association/teams/112719
VICTORIA U15 C4,https://page.spordle.com/victoria-minor-hockey-association/teams/112714
VICTORIA U15 C5,https://page.spordle.com/victoria-minor-hockey-association/teams/112726
